area_code,area,proc_code,proc
1,Armenia,p105,Buffaloes slaughtering
1,Armenia,p106,Sheep slaughtering
1,Armenia,p107,Goat slaughtering
1,Armenia,p108,Pigs slaughtering
1,Armenia,p109,Poultry slaughtering
1,Armenia,p110,Horses slaughtering
1,Armenia,p111,Asses slaughtering
1,Armenia,p112,Mules slaughtering
1,Armenia,p113,Camels slaughtering
1,Armenia,p114,"Camelids slaughtering, other"
1,Armenia,p115,Rabbits slaughtering
1,Armenia,p116,"Rodents slaughtering, other"
1,Armenia,p118,Beekeeping
1,Armenia,p119,Silkworm breeding
1,Armenia,p120,Fishing
2,Afghanistan,p001,Rice production
2,Afghanistan,p002,Wheat production
2,Afghanistan,p003,Barley production
2,Afghanistan,p004,Maize production
2,Afghanistan,p005,Rye production
2,Afghanistan,p006,Oat production
2,Afghanistan,p007,Millet production
2,Afghanistan,p008,Sorghum production
2,Afghanistan,p009,"Cereals production, Other"
2,Afghanistan,p010,Potatoes  production
2,Afghanistan,p011,Cassava production
2,Afghanistan,p012,Sweet potatoes production
2,Afghanistan,p013,"Roots production, Other"
2,Afghanistan,p014,Yams production
2,Afghanistan,p015,Sugar cane production
2,Afghanistan,p016,Sugar beet production
2,Afghanistan,p017,Beans production
2,Afghanistan,p018,Peas production
2,Afghanistan,p019,"Pulses  production, Other"
2,Afghanistan,p020,Nuts production
2,Afghanistan,p021,Soyabeans production
2,Afghanistan,p022,Groundnuts production
2,Afghanistan,p023,Sunflower seed production
2,Afghanistan,p024,Rape and Mustardseed production
2,Afghanistan,p025,Seed cotton production
2,Afghanistan,p026,Coconuts production
2,Afghanistan,p027,Sesame seed production
2,Afghanistan,p028,Oil palm fruit production
2,Afghanistan,p029,Olives production
2,Afghanistan,p030,"Oilcrops production, Other"
2,Afghanistan,p031,Tomatoes production
2,Afghanistan,p032,Onions production
2,Afghanistan,p033,"Vegetables production, Other"
2,Afghanistan,p034,"Oranges, Mandarines production"
2,Afghanistan,p035,"Lemons, Limes production"
2,Afghanistan,p036,Grapefruit production
2,Afghanistan,p037,"Citrus production, Other"
2,Afghanistan,p038,Bananas production
2,Afghanistan,p039,Plantains production
2,Afghanistan,p040,Apples production
2,Afghanistan,p041,Pineapples production
2,Afghanistan,p042,Dates production
2,Afghanistan,p043,Grapes production
2,Afghanistan,p044,"Fruits production, Other"
2,Afghanistan,p045,Coffee production
2,Afghanistan,p046,Cocoa Beans production
2,Afghanistan,p047,Tea production
2,Afghanistan,p048,Hops production
2,Afghanistan,p049,Pepper production
2,Afghanistan,p050,Pimento production
2,Afghanistan,p051,Cloves production
2,Afghanistan,p052,"Spices production, Other"
2,Afghanistan,p053,Jute production
2,Afghanistan,p054,Jute-Like Fibres production
2,Afghanistan,p055,"Soft-Fibres production, Other"
2,Afghanistan,p056,Sisal production
2,Afghanistan,p057,Abaca production
2,Afghanistan,p058,"Hard Fibres production, Other"
2,Afghanistan,p059,Tobacco production
2,Afghanistan,p060,Rubber production
2,Afghanistan,p061,Fodder crops production
2,Afghanistan,p062,Grazing production
2,Afghanistan,p063,Cotton production
2,Afghanistan,p064,"Sugar production, non-centrifugal"
2,Afghanistan,p065,Sugar production
2,Afghanistan,p066,"Sweeteners production, Other"
2,Afghanistan,p067,Soyabean Oil extraction
2,Afghanistan,p068,Groundnut Oil extraction
2,Afghanistan,p069,Sunflowerseed Oil extraction
2,Afghanistan,p070,Rape and Mustard Oil extraction
2,Afghanistan,p071,Cottonseed Oil extraction
2,Afghanistan,p072,Palmkernel Oil extraction
2,Afghanistan,p073,Palm Oil production
2,Afghanistan,p074,Coconut Oil extraction
2,Afghanistan,p075,Sesameseed Oil extraction
2,Afghanistan,p076,Olive Oil extraction
2,Afghanistan,p077,Ricebran Oil extraction
2,Afghanistan,p078,Maize Germ Oil extraction
2,Afghanistan,p079,"Oilcrops Oil extraction, Other"
2,Afghanistan,p080,Wine production
2,Afghanistan,p081,Beer production
2,Afghanistan,p082,"Beverages production, Fermented"
2,Afghanistan,p083,"Beverages production, Alcoholic"
2,Afghanistan,p084,"Alcohol production, Non-Food"
2,Afghanistan,p085,Cattle husbandry
2,Afghanistan,p086,Buffaloes husbandry
2,Afghanistan,p087,Sheep husbandry
2,Afghanistan,p088,Goats husbandry
2,Afghanistan,p089,Pigs farming
2,Afghanistan,p090,Poultry Birds farming
2,Afghanistan,p091,Horses husbandry
2,Afghanistan,p092,Asses husbandry
2,Afghanistan,p093,Mules husbandry
2,Afghanistan,p094,Camels husbandry
2,Afghanistan,p095,"Camelids husbandry, other"
2,Afghanistan,p096,Rabbits husbandry
2,Afghanistan,p097,"Rodents husbandry, other"
2,Afghanistan,p099,Dairy cattle husbandry
2,Afghanistan,p100,Dairy buffaloes husbandry
2,Afghanistan,p101,Dairy sheep husbandry
2,Afghanistan,p102,Dairy goats husbandry
2,Afghanistan,p103,Dairy camels husbandry
2,Afghanistan,p104,Cattle slaughtering
2,Afghanistan,p105,Buffaloes slaughtering
2,Afghanistan,p106,Sheep slaughtering
2,Afghanistan,p107,Goat slaughtering
2,Afghanistan,p108,Pigs slaughtering
2,Afghanistan,p109,Poultry slaughtering
2,Afghanistan,p110,Horses slaughtering
2,Afghanistan,p111,Asses slaughtering
2,Afghanistan,p112,Mules slaughtering
2,Afghanistan,p113,Camels slaughtering
2,Afghanistan,p114,"Camelids slaughtering, other"
2,Afghanistan,p115,Rabbits slaughtering
2,Afghanistan,p116,"Rodents slaughtering, other"
2,Afghanistan,p118,Beekeeping
2,Afghanistan,p119,Silkworm breeding
2,Afghanistan,p120,Fishing
3,Albania,p001,Rice production
3,Albania,p002,Wheat production
3,Albania,p003,Barley production
3,Albania,p004,Maize production
3,Albania,p005,Rye production
3,Albania,p006,Oat production
3,Albania,p007,Millet production
3,Albania,p008,Sorghum production
3,Albania,p009,"Cereals production, Other"
3,Albania,p010,Potatoes  production
3,Albania,p011,Cassava production
3,Albania,p012,Sweet potatoes production
3,Albania,p013,"Roots production, Other"
3,Albania,p014,Yams production
3,Albania,p015,Sugar cane production
3,Albania,p016,Sugar beet production
3,Albania,p017,Beans production
3,Albania,p018,Peas production
3,Albania,p019,"Pulses  production, Other"
3,Albania,p020,Nuts production
3,Albania,p021,Soyabeans production
3,Albania,p022,Groundnuts production
3,Albania,p023,Sunflower seed production
3,Albania,p024,Rape and Mustardseed production
3,Albania,p025,Seed cotton production
3,Albania,p026,Coconuts production
3,Albania,p027,Sesame seed production
3,Albania,p028,Oil palm fruit production
3,Albania,p029,Olives production
3,Albania,p030,"Oilcrops production, Other"
3,Albania,p031,Tomatoes production
3,Albania,p032,Onions production
3,Albania,p033,"Vegetables production, Other"
3,Albania,p034,"Oranges, Mandarines production"
3,Albania,p035,"Lemons, Limes production"
3,Albania,p036,Grapefruit production
3,Albania,p037,"Citrus production, Other"
3,Albania,p038,Bananas production
3,Albania,p039,Plantains production
3,Albania,p040,Apples production
3,Albania,p041,Pineapples production
3,Albania,p042,Dates production
3,Albania,p043,Grapes production
3,Albania,p044,"Fruits production, Other"
3,Albania,p045,Coffee production
3,Albania,p046,Cocoa Beans production
3,Albania,p047,Tea production
3,Albania,p048,Hops production
3,Albania,p049,Pepper production
3,Albania,p050,Pimento production
3,Albania,p051,Cloves production
3,Albania,p052,"Spices production, Other"
3,Albania,p053,Jute production
3,Albania,p054,Jute-Like Fibres production
3,Albania,p055,"Soft-Fibres production, Other"
3,Albania,p056,Sisal production
3,Albania,p057,Abaca production
3,Albania,p058,"Hard Fibres production, Other"
3,Albania,p059,Tobacco production
3,Albania,p060,Rubber production
3,Albania,p061,Fodder crops production
3,Albania,p062,Grazing production
3,Albania,p063,Cotton production
3,Albania,p064,"Sugar production, non-centrifugal"
3,Albania,p065,Sugar production
3,Albania,p066,"Sweeteners production, Other"
3,Albania,p067,Soyabean Oil extraction
3,Albania,p068,Groundnut Oil extraction
3,Albania,p069,Sunflowerseed Oil extraction
3,Albania,p070,Rape and Mustard Oil extraction
3,Albania,p071,Cottonseed Oil extraction
3,Albania,p072,Palmkernel Oil extraction
3,Albania,p073,Palm Oil production
3,Albania,p074,Coconut Oil extraction
3,Albania,p075,Sesameseed Oil extraction
3,Albania,p076,Olive Oil extraction
3,Albania,p077,Ricebran Oil extraction
3,Albania,p078,Maize Germ Oil extraction
3,Albania,p079,"Oilcrops Oil extraction, Other"
3,Albania,p080,Wine production
3,Albania,p081,Beer production
3,Albania,p082,"Beverages production, Fermented"
3,Albania,p083,"Beverages production, Alcoholic"
3,Albania,p084,"Alcohol production, Non-Food"
3,Albania,p085,Cattle husbandry
3,Albania,p086,Buffaloes husbandry
3,Albania,p087,Sheep husbandry
3,Albania,p088,Goats husbandry
3,Albania,p089,Pigs farming
3,Albania,p090,Poultry Birds farming
3,Albania,p091,Horses husbandry
3,Albania,p092,Asses husbandry
3,Albania,p093,Mules husbandry
3,Albania,p094,Camels husbandry
3,Albania,p095,"Camelids husbandry, other"
3,Albania,p096,Rabbits husbandry
3,Albania,p097,"Rodents husbandry, other"
3,Albania,p099,Dairy cattle husbandry
3,Albania,p100,Dairy buffaloes husbandry
3,Albania,p101,Dairy sheep husbandry
3,Albania,p102,Dairy goats husbandry
3,Albania,p103,Dairy camels husbandry
3,Albania,p104,Cattle slaughtering
3,Albania,p105,Buffaloes slaughtering
3,Albania,p106,Sheep slaughtering
3,Albania,p107,Goat slaughtering
3,Albania,p108,Pigs slaughtering
3,Albania,p109,Poultry slaughtering
3,Albania,p110,Horses slaughtering
3,Albania,p111,Asses slaughtering
3,Albania,p112,Mules slaughtering
3,Albania,p113,Camels slaughtering
3,Albania,p114,"Camelids slaughtering, other"
3,Albania,p115,Rabbits slaughtering
3,Albania,p116,"Rodents slaughtering, other"
3,Albania,p118,Beekeeping
3,Albania,p119,Silkworm breeding
3,Albania,p120,Fishing
4,Algeria,p001,Rice production
4,Algeria,p002,Wheat production
4,Algeria,p003,Barley production
4,Algeria,p004,Maize production
4,Algeria,p005,Rye production
4,Algeria,p006,Oat production
4,Algeria,p007,Millet production
4,Algeria,p008,Sorghum production
4,Algeria,p009,"Cereals production, Other"
4,Algeria,p010,Potatoes  production
4,Algeria,p011,Cassava production
4,Algeria,p012,Sweet potatoes production
4,Algeria,p013,"Roots production, Other"
4,Algeria,p014,Yams production
4,Algeria,p015,Sugar cane production
4,Algeria,p016,Sugar beet production
4,Algeria,p017,Beans production
4,Algeria,p018,Peas production
4,Algeria,p019,"Pulses  production, Other"
4,Algeria,p020,Nuts production
4,Algeria,p021,Soyabeans production
4,Algeria,p022,Groundnuts production
4,Algeria,p023,Sunflower seed production
4,Algeria,p024,Rape and Mustardseed production
4,Algeria,p025,Seed cotton production
4,Algeria,p026,Coconuts production
4,Algeria,p027,Sesame seed production
4,Algeria,p028,Oil palm fruit production
4,Algeria,p029,Olives production
4,Algeria,p030,"Oilcrops production, Other"
4,Algeria,p031,Tomatoes production
4,Algeria,p032,Onions production
4,Algeria,p033,"Vegetables production, Other"
4,Algeria,p034,"Oranges, Mandarines production"
4,Algeria,p035,"Lemons, Limes production"
4,Algeria,p036,Grapefruit production
4,Algeria,p037,"Citrus production, Other"
4,Algeria,p038,Bananas production
4,Algeria,p039,Plantains production
4,Algeria,p040,Apples production
4,Algeria,p041,Pineapples production
4,Algeria,p042,Dates production
4,Algeria,p043,Grapes production
4,Algeria,p044,"Fruits production, Other"
4,Algeria,p045,Coffee production
4,Algeria,p046,Cocoa Beans production
4,Algeria,p047,Tea production
4,Algeria,p048,Hops production
4,Algeria,p049,Pepper production
4,Algeria,p050,Pimento production
4,Algeria,p051,Cloves production
4,Algeria,p052,"Spices production, Other"
4,Algeria,p053,Jute production
4,Algeria,p054,Jute-Like Fibres production
4,Algeria,p055,"Soft-Fibres production, Other"
4,Algeria,p056,Sisal production
4,Algeria,p057,Abaca production
4,Algeria,p058,"Hard Fibres production, Other"
4,Algeria,p059,Tobacco production
4,Algeria,p060,Rubber production
4,Algeria,p061,Fodder crops production
4,Algeria,p062,Grazing production
4,Algeria,p063,Cotton production
4,Algeria,p064,"Sugar production, non-centrifugal"
4,Algeria,p065,Sugar production
4,Algeria,p066,"Sweeteners production, Other"
4,Algeria,p067,Soyabean Oil extraction
4,Algeria,p068,Groundnut Oil extraction
4,Algeria,p069,Sunflowerseed Oil extraction
4,Algeria,p070,Rape and Mustard Oil extraction
4,Algeria,p071,Cottonseed Oil extraction
4,Algeria,p072,Palmkernel Oil extraction
4,Algeria,p073,Palm Oil production
4,Algeria,p074,Coconut Oil extraction
4,Algeria,p075,Sesameseed Oil extraction
4,Algeria,p076,Olive Oil extraction
4,Algeria,p077,Ricebran Oil extraction
4,Algeria,p078,Maize Germ Oil extraction
4,Algeria,p079,"Oilcrops Oil extraction, Other"
4,Algeria,p080,Wine production
4,Algeria,p081,Beer production
4,Algeria,p082,"Beverages production, Fermented"
4,Algeria,p083,"Beverages production, Alcoholic"
4,Algeria,p084,"Alcohol production, Non-Food"
4,Algeria,p085,Cattle husbandry
4,Algeria,p086,Buffaloes husbandry
4,Algeria,p087,Sheep husbandry
4,Algeria,p088,Goats husbandry
4,Algeria,p089,Pigs farming
4,Algeria,p090,Poultry Birds farming
4,Algeria,p091,Horses husbandry
4,Algeria,p092,Asses husbandry
4,Algeria,p093,Mules husbandry
4,Algeria,p094,Camels husbandry
4,Algeria,p095,"Camelids husbandry, other"
4,Algeria,p096,Rabbits husbandry
4,Algeria,p097,"Rodents husbandry, other"
4,Algeria,p099,Dairy cattle husbandry
4,Algeria,p100,Dairy buffaloes husbandry
4,Algeria,p101,Dairy sheep husbandry
4,Algeria,p102,Dairy goats husbandry
4,Algeria,p103,Dairy camels husbandry
4,Algeria,p104,Cattle slaughtering
4,Algeria,p105,Buffaloes slaughtering
4,Algeria,p106,Sheep slaughtering
4,Algeria,p107,Goat slaughtering
4,Algeria,p108,Pigs slaughtering
4,Algeria,p109,Poultry slaughtering
4,Algeria,p110,Horses slaughtering
4,Algeria,p111,Asses slaughtering
4,Algeria,p112,Mules slaughtering
4,Algeria,p113,Camels slaughtering
4,Algeria,p114,"Camelids slaughtering, other"
4,Algeria,p115,Rabbits slaughtering
4,Algeria,p116,"Rodents slaughtering, other"
4,Algeria,p118,Beekeeping
4,Algeria,p119,Silkworm breeding
4,Algeria,p120,Fishing
7,Angola,p001,Rice production
7,Angola,p002,Wheat production
7,Angola,p003,Barley production
7,Angola,p004,Maize production
7,Angola,p005,Rye production
7,Angola,p006,Oat production
7,Angola,p007,Millet production
7,Angola,p008,Sorghum production
7,Angola,p009,"Cereals production, Other"
7,Angola,p010,Potatoes  production
7,Angola,p011,Cassava production
7,Angola,p012,Sweet potatoes production
7,Angola,p013,"Roots production, Other"
7,Angola,p014,Yams production
7,Angola,p015,Sugar cane production
7,Angola,p016,Sugar beet production
7,Angola,p017,Beans production
7,Angola,p018,Peas production
7,Angola,p019,"Pulses  production, Other"
7,Angola,p020,Nuts production
7,Angola,p021,Soyabeans production
7,Angola,p022,Groundnuts production
7,Angola,p023,Sunflower seed production
7,Angola,p024,Rape and Mustardseed production
7,Angola,p025,Seed cotton production
7,Angola,p026,Coconuts production
7,Angola,p027,Sesame seed production
7,Angola,p028,Oil palm fruit production
7,Angola,p029,Olives production
7,Angola,p030,"Oilcrops production, Other"
7,Angola,p031,Tomatoes production
7,Angola,p032,Onions production
7,Angola,p033,"Vegetables production, Other"
7,Angola,p034,"Oranges, Mandarines production"
7,Angola,p035,"Lemons, Limes production"
7,Angola,p036,Grapefruit production
7,Angola,p037,"Citrus production, Other"
7,Angola,p038,Bananas production
7,Angola,p039,Plantains production
7,Angola,p040,Apples production
7,Angola,p041,Pineapples production
7,Angola,p042,Dates production
7,Angola,p043,Grapes production
7,Angola,p044,"Fruits production, Other"
7,Angola,p045,Coffee production
7,Angola,p046,Cocoa Beans production
7,Angola,p047,Tea production
7,Angola,p048,Hops production
7,Angola,p049,Pepper production
7,Angola,p050,Pimento production
7,Angola,p051,Cloves production
7,Angola,p052,"Spices production, Other"
7,Angola,p053,Jute production
7,Angola,p054,Jute-Like Fibres production
7,Angola,p055,"Soft-Fibres production, Other"
7,Angola,p056,Sisal production
7,Angola,p057,Abaca production
7,Angola,p058,"Hard Fibres production, Other"
7,Angola,p059,Tobacco production
7,Angola,p060,Rubber production
7,Angola,p061,Fodder crops production
7,Angola,p062,Grazing production
7,Angola,p063,Cotton production
7,Angola,p064,"Sugar production, non-centrifugal"
7,Angola,p065,Sugar production
7,Angola,p066,"Sweeteners production, Other"
7,Angola,p067,Soyabean Oil extraction
7,Angola,p068,Groundnut Oil extraction
7,Angola,p069,Sunflowerseed Oil extraction
7,Angola,p070,Rape and Mustard Oil extraction
7,Angola,p071,Cottonseed Oil extraction
7,Angola,p072,Palmkernel Oil extraction
7,Angola,p073,Palm Oil production
7,Angola,p074,Coconut Oil extraction
7,Angola,p075,Sesameseed Oil extraction
7,Angola,p076,Olive Oil extraction
7,Angola,p077,Ricebran Oil extraction
7,Angola,p078,Maize Germ Oil extraction
7,Angola,p079,"Oilcrops Oil extraction, Other"
7,Angola,p080,Wine production
7,Angola,p081,Beer production
7,Angola,p082,"Beverages production, Fermented"
7,Angola,p083,"Beverages production, Alcoholic"
7,Angola,p084,"Alcohol production, Non-Food"
7,Angola,p085,Cattle husbandry
7,Angola,p086,Buffaloes husbandry
7,Angola,p087,Sheep husbandry
7,Angola,p088,Goats husbandry
7,Angola,p089,Pigs farming
7,Angola,p090,Poultry Birds farming
7,Angola,p091,Horses husbandry
7,Angola,p092,Asses husbandry
7,Angola,p093,Mules husbandry
7,Angola,p094,Camels husbandry
7,Angola,p095,"Camelids husbandry, other"
7,Angola,p096,Rabbits husbandry
7,Angola,p097,"Rodents husbandry, other"
7,Angola,p099,Dairy cattle husbandry
7,Angola,p100,Dairy buffaloes husbandry
7,Angola,p101,Dairy sheep husbandry
7,Angola,p102,Dairy goats husbandry
7,Angola,p103,Dairy camels husbandry
7,Angola,p104,Cattle slaughtering
7,Angola,p105,Buffaloes slaughtering
7,Angola,p106,Sheep slaughtering
7,Angola,p107,Goat slaughtering
7,Angola,p108,Pigs slaughtering
7,Angola,p109,Poultry slaughtering
7,Angola,p110,Horses slaughtering
7,Angola,p111,Asses slaughtering
7,Angola,p112,Mules slaughtering
7,Angola,p113,Camels slaughtering
7,Angola,p114,"Camelids slaughtering, other"
7,Angola,p115,Rabbits slaughtering
7,Angola,p116,"Rodents slaughtering, other"
7,Angola,p118,Beekeeping
7,Angola,p119,Silkworm breeding
7,Angola,p120,Fishing
8,Antigua and Barbuda,p001,Rice production
8,Antigua and Barbuda,p002,Wheat production
8,Antigua and Barbuda,p003,Barley production
8,Antigua and Barbuda,p004,Maize production
8,Antigua and Barbuda,p005,Rye production
8,Antigua and Barbuda,p006,Oat production
8,Antigua and Barbuda,p007,Millet production
8,Antigua and Barbuda,p008,Sorghum production
8,Antigua and Barbuda,p009,"Cereals production, Other"
8,Antigua and Barbuda,p010,Potatoes  production
8,Antigua and Barbuda,p011,Cassava production
8,Antigua and Barbuda,p012,Sweet potatoes production
8,Antigua and Barbuda,p013,"Roots production, Other"
8,Antigua and Barbuda,p014,Yams production
8,Antigua and Barbuda,p015,Sugar cane production
8,Antigua and Barbuda,p016,Sugar beet production
8,Antigua and Barbuda,p017,Beans production
8,Antigua and Barbuda,p018,Peas production
8,Antigua and Barbuda,p019,"Pulses  production, Other"
8,Antigua and Barbuda,p020,Nuts production
8,Antigua and Barbuda,p021,Soyabeans production
8,Antigua and Barbuda,p022,Groundnuts production
8,Antigua and Barbuda,p023,Sunflower seed production
8,Antigua and Barbuda,p024,Rape and Mustardseed production
8,Antigua and Barbuda,p025,Seed cotton production
8,Antigua and Barbuda,p026,Coconuts production
8,Antigua and Barbuda,p027,Sesame seed production
8,Antigua and Barbuda,p028,Oil palm fruit production
8,Antigua and Barbuda,p029,Olives production
8,Antigua and Barbuda,p030,"Oilcrops production, Other"
8,Antigua and Barbuda,p031,Tomatoes production
8,Antigua and Barbuda,p032,Onions production
8,Antigua and Barbuda,p033,"Vegetables production, Other"
8,Antigua and Barbuda,p034,"Oranges, Mandarines production"
8,Antigua and Barbuda,p035,"Lemons, Limes production"
8,Antigua and Barbuda,p036,Grapefruit production
8,Antigua and Barbuda,p037,"Citrus production, Other"
8,Antigua and Barbuda,p038,Bananas production
8,Antigua and Barbuda,p039,Plantains production
8,Antigua and Barbuda,p040,Apples production
8,Antigua and Barbuda,p041,Pineapples production
8,Antigua and Barbuda,p042,Dates production
8,Antigua and Barbuda,p043,Grapes production
8,Antigua and Barbuda,p044,"Fruits production, Other"
8,Antigua and Barbuda,p045,Coffee production
8,Antigua and Barbuda,p046,Cocoa Beans production
8,Antigua and Barbuda,p047,Tea production
8,Antigua and Barbuda,p048,Hops production
8,Antigua and Barbuda,p049,Pepper production
8,Antigua and Barbuda,p050,Pimento production
8,Antigua and Barbuda,p051,Cloves production
8,Antigua and Barbuda,p052,"Spices production, Other"
8,Antigua and Barbuda,p053,Jute production
8,Antigua and Barbuda,p054,Jute-Like Fibres production
8,Antigua and Barbuda,p055,"Soft-Fibres production, Other"
8,Antigua and Barbuda,p056,Sisal production
8,Antigua and Barbuda,p057,Abaca production
8,Antigua and Barbuda,p058,"Hard Fibres production, Other"
8,Antigua and Barbuda,p059,Tobacco production
8,Antigua and Barbuda,p060,Rubber production
8,Antigua and Barbuda,p061,Fodder crops production
8,Antigua and Barbuda,p062,Grazing production
8,Antigua and Barbuda,p063,Cotton production
8,Antigua and Barbuda,p064,"Sugar production, non-centrifugal"
8,Antigua and Barbuda,p065,Sugar production
8,Antigua and Barbuda,p066,"Sweeteners production, Other"
8,Antigua and Barbuda,p067,Soyabean Oil extraction
8,Antigua and Barbuda,p068,Groundnut Oil extraction
8,Antigua and Barbuda,p069,Sunflowerseed Oil extraction
8,Antigua and Barbuda,p070,Rape and Mustard Oil extraction
8,Antigua and Barbuda,p071,Cottonseed Oil extraction
8,Antigua and Barbuda,p072,Palmkernel Oil extraction
8,Antigua and Barbuda,p073,Palm Oil production
8,Antigua and Barbuda,p074,Coconut Oil extraction
8,Antigua and Barbuda,p075,Sesameseed Oil extraction
8,Antigua and Barbuda,p076,Olive Oil extraction
8,Antigua and Barbuda,p077,Ricebran Oil extraction
8,Antigua and Barbuda,p078,Maize Germ Oil extraction
8,Antigua and Barbuda,p079,"Oilcrops Oil extraction, Other"
8,Antigua and Barbuda,p080,Wine production
8,Antigua and Barbuda,p081,Beer production
8,Antigua and Barbuda,p082,"Beverages production, Fermented"
8,Antigua and Barbuda,p083,"Beverages production, Alcoholic"
8,Antigua and Barbuda,p084,"Alcohol production, Non-Food"
8,Antigua and Barbuda,p085,Cattle husbandry
8,Antigua and Barbuda,p086,Buffaloes husbandry
8,Antigua and Barbuda,p087,Sheep husbandry
8,Antigua and Barbuda,p088,Goats husbandry
8,Antigua and Barbuda,p089,Pigs farming
8,Antigua and Barbuda,p090,Poultry Birds farming
8,Antigua and Barbuda,p091,Horses husbandry
8,Antigua and Barbuda,p092,Asses husbandry
8,Antigua and Barbuda,p093,Mules husbandry
8,Antigua and Barbuda,p094,Camels husbandry
8,Antigua and Barbuda,p095,"Camelids husbandry, other"
8,Antigua and Barbuda,p096,Rabbits husbandry
8,Antigua and Barbuda,p097,"Rodents husbandry, other"
8,Antigua and Barbuda,p099,Dairy cattle husbandry
8,Antigua and Barbuda,p100,Dairy buffaloes husbandry
8,Antigua and Barbuda,p101,Dairy sheep husbandry
8,Antigua and Barbuda,p102,Dairy goats husbandry
8,Antigua and Barbuda,p103,Dairy camels husbandry
8,Antigua and Barbuda,p104,Cattle slaughtering
8,Antigua and Barbuda,p105,Buffaloes slaughtering
8,Antigua and Barbuda,p106,Sheep slaughtering
8,Antigua and Barbuda,p107,Goat slaughtering
